,user,description,followers,location,text
0,Kalpesh_Yadav_,"😭😭मुस्लिम प्यार का जूठा नाटक कर रहे हैं 😭😭मुस्लिम अपना धर्म छिपा रहे है, अपना झूठा नाम बता रहे हैं,😭😭और दूसरे धर्म की लड़कियों को फसा रहे हैं,😭😭",41,India,@PradipK40388306 @dudesaurabh @narendramodi @BJP4India @JPNadda @AmitShah @myogiadityanath @BJYM Only bjp🚩2004-2014… https://t.co/gkiMYoBMGF
1,Yash_Vala_BJP,Election Co-Convener IT Cell Rajkot District BJP,268,Rajkot India,Hon'ble PM Shri @narendramodi Ji hands over a representational key of 109 life-saving ambulances to Bangladesh PM S… https://t.co/Zq9dosAh7u
2,RahulKu51316643,Student,1,,"@DrRPNishank @narendramodi Sir., Covid 19 cases kafi jyda aane lge hai.! Please sir exam online mode me kr dijiye.!… https://t.co/r9m64cl5s4"
3,asthanacdri,"Ex. Researcher, Love my India, wish a clean and corruption free India; follower of @sachin_rt @srbachchan. @narendramodi @mipaltan",146,"Lucknow, India",@MediaHarshVT @BJP4India @BJP4Punjab @capt_amarinder @narendramodi @AmitShah @JPNadda Shame on congress👎👎👎👎👎👎👎👎👎👎👎👎… https://t.co/LfxFTvBe72
4,U2K2ADSH,,231,,@SupriyaShrinate @narendramodi Pidi SShrinate durbari slaves can't be choosy...first check the fact and then bark..… https://t.co/FhhTNFh9UF
5,muskateer15,"Don't conclude, and don't be 100% certain of anything",1,,@JayathuB @Waniash1 @Swamy39 @DrRonMalka @narendramodi @YashwantSinha @ShatruganSinha @KirtiAzaad I only see that I… https://t.co/aKAX9vS4Bt
6,Champ65764330,,4,,@imsinghabhi95 @Sandipsingh22 @AdityaRajKaul @narendramodi Canada have supplier vaccine with all of them? But have… https://t.co/LLjcYFbaKh
7,bipbhat,"Fan of Test Cricket, student of India Polity  Salesman by profession, engineer by education.RT`s no endorsement .",936,India ,@KrishanuKar14 @poll_diary @BJP4Bengal @INCWestBengal @AITCofficial @DilipGhoshBJP @adhirrcinc @YashwantSinha… https://t.co/ctC80uUYyP
8,Abhiram49780861,,0,,@Fatima492090 @RaymoneJames4 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Search the Google with word Islam… https://t.co/jsLWt5DsmZ
9,kannan32,Hi Keep Walking,33,Dubai UAE,@ShashiTharoor @narendramodi Blind literate!!
10,shytigress,"Freelance Journalist, Writer, Animal Lover, Fearless Seeker of Truth. Every step I take in Light, is Mine Forever!",3833,🇨🇦🇮🇳🇺🇲🇮🇱,@JyotilaxmiK @nrajabpcla @keeranl @narendra52 @ArunDeshpande20 @bahuvirupak @sreeramjvc @neerangautam… https://t.co/0UcV2WIMXk
11,banyarhein25,,119,,"To @narendramodi 
  I believe that India loves democracy
and India will be our friends in Democracy revolution. But… https://t.co/f4Mh9LUtXv"
12,nksethi551,More than 4 decades of public health experience from grassroots Primary Health Centre to highest Policy-Planning level in India & globally,23,,@narendramodi @PMOIndia @AmitShah @HMOIndia @drharshvardhan @DrHVoffice @NITIAayog Areas where latest avg @Covid  c… https://t.co/iAx1fs75Se
13,lexquizit,,35,,@thakkar_sameet @narendramodi There should be 24 hr vaccination for a week so that many can get vaccinated at the earliest.
14,Vkr52440642,"Farmer, traveller, inclined towards art and culture, arch, Indian",3,,@kapskom Do uniquely India.. @PMOIndia @HMOIndia @narendramodi @AmitShah @JPNadda @INCIndia
15,GuyWithYogaMat,"#Poetry, #Snakes & Organic Life 🌱",970,भारत,@trramesh @dinathanthi @SadhguruJV @narendramodi @BJP4India @Swamy39 It's an outcome of @SadhguruJV's relentless ro… https://t.co/022Dl0QIxv
16,voiceofkkr,A Human first and anything next. Contradictions of course will always be,56,Hyderabad,@Aakar__Patel @atti_cus @AmitShah @narendramodi Is it real that 13 quarters shown negative/decline in growth? Hard to believe
17,Manjeet97903377,hg,2,,@narendramodi Pm ji u know english
18,RaviSingh_14,"सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज |
अहं त्वां सर्वपापेभ्यो मोक्षयिष्यामि मा शुच: |",465,"Mumbai, India",Are you serious @CMOMaharashtra @OfficeofUT night curfew will help in this time bomb type suitation in mumbai.... W… https://t.co/TAPR8YZmje
19,Vikram_Noolvi,"Engineer, Natural & Forestry Farmer...",77,,@MeghUpdates @BSYBJP @BSBommai @BJP4Karnataka when kicking out all the illigal intruders out of our state?… https://t.co/yXR1pLdpDi
20,Dilbagsandhu1,I stand with Farmers,209,,@saurabhkmr69 @DelhiPolice @Uppolice @GujaratPolice @narendramodi @BJP4Punjab You forget to tag this https://t.co/QyUNbOLr2P
21,SrivastavaS08,"PROUD INDIAN, PROUD HINDU 🇮🇳🇮🇳",66,,@PplOfIndia @narendramodi @ShashiTharoor If he looks like RG or Behind RG than it's good for @ShashiTharoor   but i… https://t.co/RLI1SZ3Vgd
22,kammogyan,,26,,@Fatima492090 @SHIVAMV91870455 @hassan_j92 @ARanganathan72 @narendramodi Wearing suicide belt and blow up can also… https://t.co/84WwQ7T8ft
23,OhmShanti5,Stand for what feel is right Criticisms should be constructive not destructive.,8,,@HinduTreasure @narendramodi @BJP4India @abhisar_sharma any report on this shameful act @capt_amarinder… https://t.co/WybPZXkUP2
24,KiQVision,"#gk, #english, #science, #geography, #polity, #indianhistory, #upsc, #pcs",15,India,"@narendramodi Happy Holi 
To our honourable PM sir Jai Hind 🙏"
25,avi_j_official,Freedom_Is_Not_Given_Its_Taken..,3,"Gwalior, India",So finally guys UG ke 1st and 2nd year ke students ke exam ab open honge Or third year or PG ke students ke exam ce… https://t.co/ENCTvsn9yR
26,Sumanch46113710,"PRESTIAGE ALOCBEV PVT LTD
VP - Sales & Marketing.",30,"Mumbai, India",@PMOIndia @narendramodi I am also filling same think but if u r clear Punjab and Maharashtra bank iasue
27,shirishag75,Free software enthusiast @shirishag75@mastadon.social,549,Pune,@a_regularcitizn @NikolaTeslaInc @Haraprasad_ @HinduNatl @narendramodi Looking forward to your valuable comments on the above. 3/n
28,AyanKas31745774,,3,,@narendramodi @RhythmChaturve8 liked this tweet?!?!?
29,vasudevchavan,,391,,"@MamataOfficial didi do you remember this family 

@narendramodi @AmitShah @JPNadda do you ?

Let’s see if they wil… https://t.co/P175KNJKIg"
30,silencepl,"#ThoughtLeader
#Influencer
#Speaker
#LifeCoach",6904,,@pcsarangi @BJP4India @narendramodi @JPNadda @AmitShah Nice post thanks!
31,NeerajaSheth,नीरजा रावत शेठ | ॐ | Travel | Photography | Cooking | Observing Life,318,,@ShefVaidya @narendramodi Why should anyone be apologetic?
32,SHIVAMV91870455,"नमस्ते सदा वत्सले मातृभूमि 🙏🙏

एको अहं द्वितीयो नास्ति न भूतो न भविष्यति |

अर्थात एक मैं ही हु बाकी सब मिथ्या है न मेरे जैसा कोई आया न आ सकेगा|",69,,"@Fatima492090 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Check once 
U are going to fet a big shock"
33,RajeevKrSharma9,"Ex. an N.G.O Coach ( Physical )* & Fitness Expert
Defence Training Passout, Delhi, New Delhi, India
https://t.co/UNxEykPQrD",704,"New Delhi, India",@narendramodi @smritiirani Ever PM of India Modi Ji 🙏
34,shirishag75,Free software enthusiast @shirishag75@mastadon.social,549,Pune,@a_regularcitizn @NikolaTeslaInc @Haraprasad_ @HinduNatl @narendramodi And this was from somebody very close to Tru… https://t.co/FsX3XUonO0
35,KumarAn25964733,promise,5,,@bjp4neelima @BJP4India @narendramodi @AmitShahOffice @JPNadda @DrMNPandeyMP @shivprakashbjp @BJP4UP… https://t.co/edzoRLYJiD
36,Robin52347660,Pubg lover ❤️,1,,@narendramodi Jai Hind 🇮🇳 sir
37,msajjadmalik,"Spartacus, political analyst and journalist  , believing on north south conflict.",151,"Islamabad, Pakistan",@narendramodi What's about visiting Pakistan? Most welcome here.
38,indlramesh,,61,,"@thakkar_sameet @narendramodi Even though BJP is not ruling in MH, doesn't mean you leave this state on these peopl… https://t.co/sM44HlJy1n"
39,dipesh154,Computer Engineer .Innovator Businessman,81,dipesh154@gmail.com,Qutub minar is dhruva stanmbha ... What have been we taught in history... @DrRPNishank  Sir @narendramodi  Sir… https://t.co/HmzFnBzl6p
40,mehmood_roxy,"Dream what you want to dream; go where you want to go; be what you want to be, because you have only one life and one chance to do all the things you want to do",122,"Mumbai, India",@drharshvardhan @RSSorg @DrMohanBhagwat @PMOIndia @narendramodi @BJP4India @JPNadda @AmitShah @Ramlal @BJP4Delhi Si… https://t.co/GCfKA9i7IQ
41,BJP4SIKAR_,Official Twitter Handle Of BJP Sikar Rajasthan,1039,Sikar,"Prime Minister Shri @narendramodi will share his #MannKiBaat at 11 on 28th March 2021.

Listen LIVE at

•… https://t.co/eoJmRFkjlm"
42,Usha80722138,Fikar phek kuwe me.. JO HOGA DEKHA JAYEGA☺️☺️😀😀,1021,"Bengaluru, India",@AzaadBharatOrg @SadhviPragya_MP @madhukishwar @narendramodi @VanzaraDg @myogiadityanath @PMuralidharRao… https://t.co/sYSSMUtH3M
43,draijada1,,240,,@SumanSh58123278 @narendramodi Modiji knows how to handle useless and unworthy foe
44,SHIVAMV91870455,"नमस्ते सदा वत्सले मातृभूमि 🙏🙏

एको अहं द्वितीयो नास्ति न भूतो न भविष्यति |

अर्थात एक मैं ही हु बाकी सब मिथ्या है न मेरे जैसा कोई आया न आ सकेगा|",69,,"@Fatima492090 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Dont add sikhs
Muslims history is filled with bl… https://t.co/GplvysjvDw"
45,AgentSaffron,"Indian 🇮🇳. Hindu 🕉️.

Anti-Lockdown & curfew cyber activist.

Tweets on society and politics mostly.

RTs/Likes/Followers/Following/Replies not endorsements.",34615,Bhoomi,@CMOPb @capt_amarinder @narendramodi teach your so called farmers to embrace modernity instead of being stuck to ol… https://t.co/FIK3OKHAbj
46,Fatima492090,,0,,@SHIVAMV91870455 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi I have unlike you who believes in
47,manish_4786,🙏.... Jai Shree RAM....🙏,31,India,@Sujata_Padhy @MediaHarshVT @PunjabPoliceInd @capt_amarinder @narendramodi @PMOIndia @rashtrapatibhvn… https://t.co/Pxdc8hBiqD
48,TSConsumers,"Official Twitter handle of Department of Consumer Affairs, Government of Telangana",5917,"Somajiguda, Hyderabad, India",@VijayGopal_ @PiyushGoyal @DeptConsumerAff @consaff @narendramodi Good job @VijayGopal_ keep it up
49,saurabhkmr69,Proud Hindu Nationalist.,196,भारत,@Dilbagsandhu1 @DelhiPolice @Uppolice @GujaratPolice @narendramodi @BJP4Punjab He is also threatening me of consequ… https://t.co/RGyZtVgtkd
50,BM_SCM,"Born in Banaras
Brought up in Bombay
now in Bangalore.
 
Fan of Dr. MMS

Tweets, Likes & Retweets are not endorsement.

Supply Chain Professional",552,,@OnRightWing @anantvijay @narendramodi Sach
51,ankitdoshi0704,Justice and pride come with war..,179,India,@thakkar_sameet @narendramodi Still if we start today f9r vaccination it 1.5 month for anti body to generate.. So w… https://t.co/15w9IqWQpG
52,AllauddeenMomin,"I'm Stoned , Not Stupid🤒🥴.
 #memer",473,India,@Bhoraniya121 @narendramodi Bro I'm a Cameraman 🤣
53,KalaLan12500811,"Hardword Professor, RTs not = endorsement",59,,@MediaHarshVT @BJP4India @BJP4Punjab @capt_amarinder @narendramodi @AmitShah @JPNadda @Sanjay_Dixit @SDeo @Iyervval… https://t.co/KorEQwBkrx
54,Harendr09633939,#NamoNamo,41,India 🇮🇳,@KirenRijiju @AhmedMahloof @narendramodi Very happy birthday🎂🎂🎂🎈🎈🧁🧁🥳
55,DantidurgaR,Rashtrawadi. Follower of Sanatana Dharma.,16,,@Jhumlaa @narendramodi Tweet smacks of hatred for Hindus.
56,kdhrafani,"Hyper Nationalist & Fan of  INDIAN ARMY    🇮🇳 

           काफिर कब तक डरेगा",47,BHARAT,"What Indiraji did to Khalistan supports was right Modi should do the same

What happened in 1984 was also right… https://t.co/UN6sVWVxT6"
57,sunil10305,Nation first! Proud Indian & strong belief in Hinduism 🇮🇳by profession Food Tech!,306,World,@arjunbhatigolf @narendramodi Jai Hind 🙏
58,TopperToppler,"Learner, Reader, Quizzical, Explorer, Innovation Enthusiast. In process of rediscovering myself.",69,Bharat ,"@KirenRijiju @narendramodi Congratulations kiren Rijiju Sir!! 
Very proud moment for india to hear words of appreci… https://t.co/qFQB9XSmqa"
59,Deepak32Dr,Vice President BJP youth Uttar Pradesh,84,"Lucknow, India",@IPS_SantoshM @narendramodi @PMOIndia @KirenRijiju @IPS_Association @AwasthiAwanishK @Uppolice @myogioffice @FitIndiaOff Fit india...
60,RakibBarbhuiy10,,8,,@Surendr15146237 @narendramodi @abhinaymaths @AmitShah @PMOIndia @ravishndtv Yes.. ofcourse
61,vg_stp,"“Mind is never a problem. Mindset is.” Narendra Modi Ji
Impatient Follower of Shri @NarendraModi 
https://t.co/Jfd0jQ6yrr…",274,,"@thakkar_sameet @narendramodi Maharashtra has one capable Multi Faceted Expert for every problem ..@priyankac19 
Sh… https://t.co/cowh1FqwvG"
62,IC_007,"Honest Indian, against corruption, unconstitutional behaviour, and errant public servants  in the Republic of India. I have no political affiliation. Jai Hind!",1,,@milinddeora @Narendramodi Exactly!! the storyteller at the top is looking elsewhere? Maybe he needs to wake up and… https://t.co/wjU9EfmjNw
63,Fatima492090,,0,,@Abhiram49780861 @kammogyan @RaymoneJames4 @hassan_j92 @ARanganathan72 @narendramodi Wow another spam link
64,RajuShe86603209,🚩🚩जय महाराष्ट्र 🚩🚩,66,Khamgon,@sumedh_dipak @pbhushan1 @UNHumanRights @ravishndtv @InfoBuldhana @Dev_Fadnavis @CMOMaharashtra @narendramodi… https://t.co/RQLK7ZukVy
65,MukeshM00708975,Hindu Rashtravaadi/ Ultra Nationalist. My 7th account.,645,"Indore, India",@PplOfIndia @narendramodi @ShashiTharoor Stylish Joker of 3rd rate Clown Institute of Gandys.
66,rmmkkkstbs,,1,india,@narendramodi Problem is getting effective organic pesticides and fertilisers on large scale. Other countries must… https://t.co/4dcRbJoIfz
67,proudlymessedup,Proud Bharatiya; Proud Hindu;Follower of Kriya Yog; loves her Guru,6874,,@thakkar_sameet @narendramodi Agree totally
68,shirishag75,Free software enthusiast @shirishag75@mastadon.social,549,Pune,"@a_regularcitizn @NikolaTeslaInc @Haraprasad_ @HinduNatl @narendramodi Aha....ok, then what would your position be… https://t.co/NZdhl58FqK"
69,nomadthakur29,Intolerant Kshatriya 🦂,24,,@duryodan_ @Piyu_Nair @narendramodi @BJP4India @AmitShah @JPNadda @TheMetromanS True Gentleman
70,MukharRavi,"सनातनी🚩😎 Mechanical Engineer✌️#Youtuber
 Subscribe to my YouTube channel:https://t.co/dQHpQrCD0u
Follow me on Instagram:https://t.co/ETPVTjpj8I",333,India,"@narendramodi https://t.co/YDfevXaCIa
Study Tips for exams..
YouTube Shorts..
Must Watch 🙏🙂🙏"
71,Fatima492090,,0,,@SHIVAMV91870455 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi You are extremists and have so much blood on… https://t.co/ueEEs7KqeI
72,TomVadakkan2,"National spokesperson , Bharatiya Janata Party",2128,"New Delhi, India",India and Bangladesh signed MOUs on key issues which will be a strategic tie up for future.Our PM @narendramodi ji… https://t.co/dgi1leBb3a
73,AmitDesipatel,"Proud Hindu(Religion of peace by act not by assumptions) Secular not Sickular, Equality not appeasement",171,Right Side,"@narendramodi Opposition is not even able to understand Modi’s past, present or possible future. All they have is pappu."
74,JothiRa09804112,,1,,@MPvikasmahatme @narendramodi @PMOIndia @drharshvardhan Nice to see such an active MP from Rajya Sabha. Thank-you S… https://t.co/rw8qQpLQLk
75,RajibDu56814018,,1,"Kolkata, India",@aroopbiswasaitc @narendramodi @SuvenduWB Pakistan are traitors same to ur family and you specially who work for BJ… https://t.co/vxnEhqxcqQ
76,TUSHARBRAHMANK2,Jay Vidarbha 🇮🇳🇮🇳,193,"Nagpur, Vidarbha, India ","Where is #Nagpur Guardian Minister?? 

No beds, 
No ICU Beds, 
No discipline 
2 Patients on 1 Bed 
No proper coordi… https://t.co/1hfb7xzBsM"
77,KVajpayaee,"Vedic Astrologer ,MD -KVAS(P) Ltd.,KVGAARC, fb:- katyayan.vajpayee.7 @MSpadine  Alessandra 💓",43706,,"@CMOMaharashtra @uddhavthackeray @OfficeofUT 
@AUThackeray @MSEDCL @CMDMSEDCL
@PMOIndia @narendramodi
Dear Sir,
Eve… https://t.co/Gqr7gMZifH"
78,Fatima492090,,0,,@kammogyan @SHIVAMV91870455 @hassan_j92 @ARanganathan72 @narendramodi Drinking petrol can kill you. The fact you be… https://t.co/rZuyalBYEd
79,MayaKishan3,,0,,@MEAIndia @narendramodi Great sir
80,Siddharthsmsk,RRB SECUNDERABAD ALP WAITING LIST BEROZGAAR....,270,,@PiyushGoyal @narendramodi #clear_railway_standby plz give job to railway standby medical fit candidates ALP/TECH c… https://t.co/YfUeifT2NR
81,MightyRightyGM,,80,Mumbai,@theskindoctor13 @narendramodi But aren't people in Bangladesh allowed into Bengal without any visa under TMC govt… https://t.co/SoRygyEupY
82,PBNS_India,"Digital News Service of India’s Public Broadcaster - Breaking Alerts, Digests & curated Developing Stories from across the Globe.Also on https://t.co/q7eM98YxLj",67406,,"PM @narendramodi thank the people of Bangladesh, PM Sheikh Hasina and the Bangladesh Government for the warm hospit… https://t.co/eEgGngYRi6"
83,Adv_pcsharma,"Adv/RTI & Social Activist 1870+RTI's, Threats to Life, COVERING 170 Deptt. of GOI/12 States, Strong Supporters @Adv_pcsharma & pc_sharma60",310,Hamirpur HP Amritsar Punjab,@tarunchughbjp @narendramodi @narendramodi_in @AmitShah @AmitShahOffice @JPNadda @OfficeofJPNadda @BJP4India… https://t.co/C1WsUTcV5Q
84,prince_man11,"carpe diem..Blunt and Sarcastic, open to opposing views and thoughts but dont appreciate abuses..follow ppl I want no quid pro quo.RTs r not endorsements.",228,,@thakkar_sameet @narendramodi Wat use ? My client was not allowed at Gujarat border inspite of hving both doses cer… https://t.co/GN8aDER7sh
85,MadanMo30357772,"IAS (retd.), 1972 - Bihar cadre.                           Msc(physics), gold medalist, patna university. BJP member & activist since 2014.",402,"Gola road, danapur,patna",BJP to rise further must focus on large scale  training&amp;skill development of youth of india coupled with employment… https://t.co/cj7YEB1t47
86,BankerSuper,"Passbook printing se lekar LC/BG tak kar lene wala Banker. Tweets and views are personal, not professional and retweets are not endorsement.",314,,"Formation of Protein was necessary for life to evolve on ancient earth.

Chances were very rare, 1 in every 10^164.… https://t.co/OG2KFfc5dp"
87,SHIVAMV91870455,"नमस्ते सदा वत्सले मातृभूमि 🙏🙏

एको अहं द्वितीयो नास्ति न भूतो न भविष्यति |

अर्थात एक मैं ही हु बाकी सब मिथ्या है न मेरे जैसा कोई आया न आ सकेगा|",69,,@Fatima492090 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Check the facts then
88,Siddharthsmsk,RRB SECUNDERABAD ALP WAITING LIST BEROZGAAR....,270,,#clear_railway_standby plz give job to railway standby medical fit candidates ALP/TECH cen01/2018 @PiyushGoyal… https://t.co/J7zEa9NE9p
89,RaveenKr,मेरा एकमात्र वज़ूद  - भारतीय सेना!🇮🇳,4618,Koo: theZULU  @RaveenKr,@zafarbains @narendramodi @RakeshTikaitBKU Kyun Janaab? Is it that a second tranche of $$$ is expected from Uncle T… https://t.co/jad09o5SYo
90,SumanSh58123278,"Proud Hindu. Hates Indian Style of fraud Secularism & Italian Antonio Maino. 
DISLIKE Left, INVADER'S Faiths.Hindu should unite for a win in future civil war.",10041,"जम्मू औरकश्मीर,UT, जम्बुद्वीप ",Yashwant Sinha is almost 80 years old but still a full time troll working against @narendramodi ji. Everyday he is… https://t.co/K8u5xQU9N7
91,ArunSVenkatesh,,29,,@ShashiTharoor @narendramodi Likewise when you will admit in Sunanda Pushkar case?
92,vikas_1011,Stock Market Analyst,187,"New Delhi, India","@RajivPa64534116 Where is Women Organisation &amp; human rights organisation.
This country is moving towards Bheed Tantra.
@narendramodi"
93,achaldarbari,*“Intelligence recognises what has happened while genius recognises what will happen.”*,116,"Pune, India","@agutgutia @narendramodi @HardeepSPuri India has lot to cover , judicial reforms must country cant progress if case… https://t.co/WXiLTJXONM"
94,ArnabGo78212283,"True Journalism is a Joke, Parody",1,Akhand Bharat,"@aksmagicman @narendramodi 1st grade maths main focus karle pehle, rocket science is some other level for you even… https://t.co/6Wg0KQyaOX"
95,RenuSha36631550,LIFE IS TOO SHORT TO ARGUE WITH STUPID PEOPLE !,97,,"@theskindoctor13 @narendramodi Kuch Bhi @theskindoctor13 ! Kagaz to hai Modiji key pas ,to phir kya dar ! And don't… https://t.co/exW2TZswKX"
96,Balasub80706454,retired electrical engineer from tamilnadu govt service,90,"Chennai, India","@narendramodi Thanks sir.
You are great"
97,Himanshu5179,,186,India,@KrishanuKar14 @poll_diary @BJP4Bengal @INCWestBengal @AITCofficial @DilipGhoshBJP @adhirrcinc @YashwantSinha… https://t.co/KBKBIY9zqF
98,sameerasame,"i am cool. book reading is my passion, music is my life",1195,,@thakkar_sameet @narendramodi lol u know indias population  and do we have the infra to handle it no we dont
99,Fatima492090,,0,,@Abhiram49780861 @RaymoneJames4 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi And you a randomer with a phon… https://t.co/NuUKLrcRRf
100,satirebaee,The power of people is much stronger than the people in power.,1033,India,@wtfshreyaa @KhinThidaMyint @narendramodi Andhbakth spotted.
101,Rahular08349298,"गर्वित हिन्दू सनातनी, भारतवर्ष हिन्दू राष्ट्र, राष्ट्रधर्म सर्वोपरि जय हिन्द
#Team_HJM  #BharatVarsha
(देशविरोधी हथोड़े से मारे जाएंगे)",118,भारतवर्ष ,"@DostKhan_Jammu @narendramodi It's wrong

But we may read it 
That they are not refugees but encroachers and encroa… https://t.co/5iWrs6B6Tc"
102,YATEN6,,123,Delhi,We r living in 21st century.. Still life of a girl is miserable in India still she is treated like a commodity.. Ca… https://t.co/Nywt9os4Ev
103,NawabMohammed8,Kala,2,,@HardeepSPuri @narendramodi Plz start India ksa flights sir .we are unemployed in India and our jobs are in danger… https://t.co/jF2WYl44qq
104,rmmkkkstbs,,1,india,@narendramodi For Punjab organic farming could be considered. Neem sprays could be made stronger and organic fertil… https://t.co/hlLnt2ycyA
105,Yatinj03,A man has no name.,102,New Delhi,"@ankit8881508813 @narendramodi It's true that Bangladesh got freedom with india's help..
So how can modiji go to ja… https://t.co/5m8XMBaWMX"
106,SnehLat37332901,Hari Om,906,,@AzaadBharatOrg @SadhviPragya_MP @madhukishwar @narendramodi @VanzaraDg @myogiadityanath @PMuralidharRao… https://t.co/juYWqcJrHa
107,JayantMalhotr18,# स्वयमसेवक  # संत शिव सेवा फ़ाउंडेशन फ़ाउंडर मेम्बर President  Akhil Bhartiya Khatri Yuva Mahasabha Delhi Pradesh l l Social activist & youth entrepreneur,71,New Delhi ,@pcsarangi @BJP4India @narendramodi @JPNadda @AmitShah It will be my honour of simple and humble successful man like you follow back 💐🙏
108,Kalpesh_Yadav_,"😭😭मुस्लिम प्यार का जूठा नाटक कर रहे हैं 😭😭मुस्लिम अपना धर्म छिपा रहे है, अपना झूठा नाम बता रहे हैं,😭😭और दूसरे धर्म की लड़कियों को फसा रहे हैं,😭😭",41,India,@vadithay @Mullapsi420 @youngndharmic @narendramodi But We want only BJP🚩🚩 https://t.co/LzvsYqfC3R
109,Bhoj66120035,Fight for Truth,65,Bareilly,"#False #reporting of #diseases in #India https://t.co/GY8A1zOfMR
@OIEAnimalHealth @epashupalan @FAOLivestock @UN… https://t.co/XHDidufDgl"
110,kunaldutt204,A Citizen of Bharat Varsh...,929,🇮🇳 ,@CMOPb @capt_amarinder @narendramodi indirectly this tweet means that if the farmers law issue is not solved soon..… https://t.co/hlz2lTxM2n
111,RamBhadanaa,,18,"Jaipur, India",@ShashiTharoor @narendramodi Bola Tha Maine Chaatate Chaatate Dimag Kamzor Ho gaya h Aapka Mr Romeo... Abhi bhi tim… https://t.co/kBbPzaU5ey
112,Fatima492090,,0,,@AatishRoy19 @JayaDogra @mRafaNadalFan @kammogyan @hassan_j92 @ARanganathan72 @narendramodi You think its not a bad… https://t.co/QG1WqGknIE
113,pranjal773,Marketing/Sales Official,194,GUWAHATI,"@narendramodi Sir,perhaps we should learn from Bangladesh how they're doing fantastic in their Economy,possibly the… https://t.co/XaKv2VgNd8"
114,thewall_3vedi,"Simply complex. A Chartered Accountant and Tax Professional. An observer, a learner and an aspiring PUNdit who occasionally writes. Loves to analyse cricket.",96,"Ahmadabad City, India","@souindia A world class place, right here, in Gujarat, in India! Hope we help maintain it and develop it further. S… https://t.co/GKF2i3DckD"
115,thakkar_sameet,"अकाल मृत्यु वो मरे जो काम करें चांडाल का 
काल उसका क्या करें जो भक्त हो महाकाल का 🕉🚩






Proud to be followed by MAHADEV BHAKT @Narendramodi ji",74573,"Maharashtra, India","One  lakh Covid Cases in last 3 days in Maharashtra ‼

Vaccine Should be made available for every age group of Maha… https://t.co/siCE1pEmfs"
116,HinduCrusader2,"Defenders of Hindu Rights because Hindus are the most massacred, brutalised & marginalised race in the world’s history; And we don’t even have our own nation.",20,,"@Facebook has again started repressing &amp; suppressing #Hindus voices

The Iinternational #Hindu Voice &amp; its patrons… https://t.co/UPKJQ8PmW1"
117,one_plaindealer,"It was the best of times, it was the worst of times. It was the age of wisdom, it was the age of foolishness.",98, where heaven and hell meet,@narendramodi India should stop bullying and controlling Bangladesh.
118,arabnews,"The Voice of a Changing Region. Established in 1975, Arab News is the Middle East’s leading English daily. Also: @ArabNewsFR | @ArabNewsJP | @ArabNewsPK",330888,Saudi Arabia,#India's @narendramodi is on a two-day visit to #Bangladesh to take part in the golden jubilee celebrations of Bang… https://t.co/rlHcPHpVBr
119,vickey_1990,"CRICKET FANATIC,FILM CRITIC,MAD ABOUT PLAYING AND WATCHING SPORTS,DIE HARD FAN OF RAJINI,SACHIN ,KAKA,MOURINHO.",104,india,@khushsundar @VanathiBJP @TheMetromanS @sumanthraman @itisprashanth @annamalai_k @narendramodi @CMOTamilNadu kindly… https://t.co/KlzqwnXpD9
120,Abhineet_,"INDIAN, In constant search of highest - spiritually. Fan of Namgyal.",355,Lost World,@theskindoctor13 @narendramodi Ye game to lamba chalega. https://t.co/IOcq9wyFWK
121,KrishanuKar14,"Bengali Hindu | NLUA Grad | UPSC Aspirant | Followed by @narendramodi_in | Following WB politics -2004|English, Bangla,Hindi,Axomiya|",1033,"Raiganj, Uttar Dinajpur",@poll_diary @BJP4Bengal @INCWestBengal @AITCofficial @DilipGhoshBJP @adhirrcinc @YashwantSinha @sayantanbera… https://t.co/cg2vWW2Cpu
122,ColADAnand,"Veteran Indian Army officer with a passion for reading and keen interest in history, geopolitics, faith and environmentally sustainable growth.",177,"Panchkula, Haryana",@narendramodi Using tax payers money to appease domestic vote bank. Is there a limit to perfidy on display here!
123,KumarAn25964733,promise,5,,@swatantrabjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP Sir happy Holi
124,Fatima492090,,0,,@SHIVAMV91870455 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Stop chatting bullshit
125,softress,Free thinker. Bong bombshell. True liberal. Yogini. Classical music & intellectual stimulation. Seeker & speaker of truth. Proud 🇮🇳 in 🇺🇸,505,"New York, NY",Abrahamic bigotry in full swing on @narendramodi ‘s visit to the famous Jeshoreshwari Kali Mandir in #Bangladesh. L… https://t.co/Zp0apVo12I
126,skai_se,"Kind of a secular in a world of lobotomised conformism | Dentist | Healthcare Economist |
Manchester will always be Red |",168,"Delhi, India","@alankrit_k @narendramodi @nsitharaman @accidental_sach ""long term benefits will go up"". It has been 7 years of thi… https://t.co/51MmuAUPdY"
